,Distance,Mg_bf
0,607.835,300.6228572652343
1,612.579,294.7903967211458
2,622.123,291.575275614098
3,626.877,292.8861069611296
4,631.756,297.4372651579752
5,636.51,298.3872360174795
6,641.29,302.1912660336621
7,646.034,305.5630048863192
8,650.895,306.0445022461116
9,655.662,303.98569543763335
10,660.419,304.3932386275278
11,665.206,302.06369667243666
12,669.96,304.05481582104636
13,674.743,294.74116022923704
14,679.594,287.8858461300737
15,689.119,288.62312532800746
16,693.872,284.8104445499303
17,698.746,287.29304671278624
18,703.503,285.5375290881228
19,708.29,287.96333053214306
20,713.044,289.7502308027383
21,717.827,289.98156140378495
22,722.677,287.8020395029321
23,736.956,285.78405983843567
24,751.374,298.2488197824535
25,756.117,302.06089572328193
26,760.9,303.1325090119013
27,765.759,302.6742989990028
28,770.513,303.0042731922397
29,775.296,304.19837581397576
30,780.049,298.41088684567205
31,784.827,298.966718999811
32,789.67,296.1083023158424
33,794.448,293.5283185731312
34,799.211,291.7431147708286
35,803.965,289.408641552825
36,808.746,290.25077153319023
37,813.586,289.86232216549786
38,818.369,286.68174138194246
39,823.123,284.6853985949719
40,827.901,286.8798327632395
41,832.764,288.16600994742856
42,837.518,288.7168679599312
43,842.285,292.24445286761517
44,851.82,295.44421389833906
45,856.573,297.400108191656
46,861.462,293.4461437220918
47,866.216,297.32745182914675
48,870.968,295.3962229665977
49,875.741,298.6557357869081
50,880.592,297.8824461975286
51,885.379,299.5722479445907
52,890.136,300.0668274620305
53,894.913,301.16342654821
54,899.667,306.0136185357875
55,904.536,302.4160415246535
56,909.29,303.79358103304486
57,914.042,305.0331789641936
58,918.834,299.0354315160969
59,966.662,299.3175551723132
60,971.536,293.5744551058867
61,976.302,288.86981652109586
62,981.079,283.68551491952206
63,985.833,281.97320792070525
64,990.587,277.4042855336807
65,1000.21,240.38017150581732
66,1004.99,217.6894000752025
67,1009.75,210.41080084667797
68,1014.63,208.26149211616485
69,1019.38,203.61610954296714
70,1038.55,205.71014111548584
71,1043.3,202.97225520979038
72,1048.08,203.69841624110506
73,1052.83,204.22747800428454
74,1057.58,201.53381181094827
75,1062.47,205.14336828110632
76,1067.22,208.73485238044603
77,1072.0,209.39532708565432
78,1076.75,204.868008406165
79,1081.53,205.3274182970965
80,1086.37,207.9632689084232
81,1091.16,208.32091292127558
82,1095.92,203.7998659918501
83,1100.67,202.7065024774763
84,1105.55,205.5778718751837
85,1110.3,209.48384325220536
86,1115.07,212.93156684447544
87,1119.83,219.09552732214811
88,1124.61,215.8653663303389
89,1129.47,216.8695352200796
90,1134.25,222.44510949125396
91,1139.01,216.2571634048466
92,1143.75,216.93112554949937
93,1148.53,214.50631557487694
94,1153.39,212.0139440692632
95,1158.17,209.4882700426186
