    0.117282072901725769E+04    0.492812904740148497E+03    0.165399620221932189E+02   -0.361504997361955844E+02   -0.925525492726452649E+04   -0.599146350544150419E+01    1
    0.125786314606666565E+04    0.472613737312627336E+03    0.161998779043526966E+02   -0.385276126831653798E+02   -0.867351586539884920E+04   -0.599396350544151169E+01    1
    0.129090078473091125E+04    0.438168387311356184E+03    0.172566452391347696E+02   -0.363687747329751261E+02   -0.733252364492243032E+04   -0.599646350544151474E+01    1
    0.673991805315017700E+03    0.749771166866218834E+02    0.179454899675026667E+02   -0.367348772968409136E+02   -0.659398908088865574E+04   -0.599896350544151957E+01    1
    0.115485060811042786E+04    0.448925231414841562E+03    0.161733407672421130E+02   -0.378371623665236854E+02   -0.574200329943092675E+04   -0.600146350544151552E+01    1
    0.908689391613006592E+03    0.488622530690046347E+03    0.114119475548905278E+02   -0.289106090654789156E+02   -0.549434716732071229E+04   -0.600396350544151858E+01    1
    0.126272044181823730E+04    0.405828197821937863E+03    0.188329663003796952E+02   -0.379676131736763267E+02   -0.535904867436337372E+04   -0.600646350544151630E+01    1
    0.116948896050453186E+04    0.420287273666926069E+03    0.208446987331430620E+02   -0.437594143448475279E+02   -0.508761943153589891E+04   -0.600896350544152469E+01    1
    0.126440693736076355E+04    0.419825735239279197E+03    0.125186882694239188E+02   -0.306538839218167389E+02   -0.479170270014565995E+04   -0.601146350544151886E+01    1
    0.116587501764297485E+04    0.413226011421293606E+03    0.196178033479761567E+02   -0.410543638166003859E+02   -0.457068462890606133E+04   -0.601396350544150859E+01    1
    0.896803605556488037E+03    0.103690475892438087E+03    0.176629102260626532E+02   -0.386794100538706331E+02   -0.446349346034874634E+04   -0.601646350544151520E+01    1
    0.108856846690177917E+04    0.104596956558082155E+03    0.169127415513779127E+02   -0.388336862792369573E+02   -0.417801145528402685E+04   -0.601896350544151559E+01    1
    0.108584452271461487E+04    0.436954581368920003E+03    0.155371015444837735E+02   -0.383584509336138098E+02   -0.417176737234456959E+04   -0.602146350544152753E+01    1
    0.658612406253814697E+03    0.138002713777322100E+03    0.192389013753472540E+02   -0.411984365910447892E+02   -0.395849126391607024E+04   -0.602396350544153325E+01    1
