,T,Mg_e,XAn_1,XAn_2
0,762.9271807542386,300.276634407249,12.375140537898712,-27.16612228312453
1,763.0689187626751,300.8186717223995,12.71827307143662,-27.270120110596146
2,767.2537901241049,292.0102689884545,14.533580670697656,-28.4894527787365
3,735.548029778657,300.0912764499989,14.379136154840126,-28.17728007480793
4,748.6845794074059,300.07979151085243,12.24082086511001,-26.48653369586392
5,786.5587583432022,294.3711394332072,12.843623082354185,-26.75675416862494
6,772.8191885690935,296.06814967067317,10.504187451602888,-25.22187555136625
7,790.9799628322252,291.9340254448609,11.349494539382555,-25.601863955755576
8,740.4373063514031,305.4297810231031,14.152686810375974,-27.60388393242298
9,754.6574546979233,301.3877316878146,11.920215833971028,-26.143446897807475
10,730.5866293199391,305.25890502993275,13.482173601842971,-27.1991424408573
11,779.3609861808756,293.40836253974106,12.042843993050159,-26.25028910441049
12,746.7550895923933,301.2175060727821,14.247673605184676,-28.032219260321995
13,751.3377435762795,297.91596879211835,13.759054707354753,-27.653281130043105
14,748.5274097530885,303.0556310116564,12.814491316014497,-26.68930899524499
15,778.9901388037111,296.4707978076567,11.870966826535144,-26.066937241041366
16,768.6942547817218,291.9167884881139,13.810915037410638,-27.320537093373602
17,740.1379512931121,301.77013047908486,13.434427002999108,-27.20632760750533
18,758.3007060685255,298.7336632553215,12.368065165180687,-26.488171192571812
19,741.9233665804817,299.4644276163475,12.262895042262198,-26.05477989496091
20,734.2964667898233,305.4932859499529,13.97399769264019,-27.465362216884092
21,750.1766550433003,301.11956079577277,14.831103103982738,-28.23960185512605
22,789.7504348788658,291.596809380759,10.30845349474632,-24.49714196991694
23,771.5641860854598,291.3184117802175,12.247698174142155,-25.9202019745642
24,778.7324839898224,292.5492364095273,11.675974172215561,-25.698228777069225
25,746.7943503183398,303.98828358452835,12.11349439515508,-25.86029917302801
26,766.1196308298418,290.87897619328214,14.344618599195051,-27.302516153226748
27,730.4978875535583,306.65586604271493,13.31948918033169,-26.743184960146632
28,746.0658594066452,300.9301884194481,14.992556567453132,-28.43348770468359
29,744.3524885407917,302.8721815667934,14.475885550286025,-27.799705433957428
30,781.1342294247206,292.3539873302225,12.165010472937247,-25.91519445639124
31,748.3458147272049,303.58716472242025,12.466067304414107,-26.055042132229403
32,788.8076535153907,292.79109184907685,11.340383857861365,-25.145685867244495
33,776.9160337663003,297.0464699817626,12.337837886541212,-25.824338373987644
34,762.6230807415162,302.0466390489382,11.547592836845839,-23.90132881884219
35,791.7989165987466,296.9502756604001,10.19172030908739,-23.935377836812847
36,777.9224014924163,293.69908534771724,11.885980402482536,-25.77922437311708
37,783.1065392466207,294.5318228720362,11.609281162556522,-25.50399191163542
38,724.1063770836939,304.7183130095533,12.015716980989964,-25.432090160547496
