,Distance,Mg_bf
0,0.0,255.44893949770716
1,10.0,266.337792439939
2,20.0,251.12316641312083
3,30.0,195.63902369538553
4,40.0,174.82723612643505
5,50.0,181.43583164825506
6,60.0,172.65835700346747
7,70.0,171.61030866935448
8,80.0,172.10972520916488
9,90.0,171.02120339344282
10,100.0,170.75548710342895
11,110.0,171.96062336675277
12,120.0,167.25440612976732
13,130.0,163.58382002532875
14,140.0,157.79982372183213
15,150.0,151.17108018031874
16,160.0,142.64611305064597
17,170.0,144.99615872229688
18,180.0,145.2275131160684
19,190.0,142.41023381641116
20,230.0,137.44744958017026
21,240.0,138.3324236386134
22,250.0,140.85863757335858
23,260.0,141.31872392504823
24,270.0,140.91226150935822
25,290.0,139.37631325484972
26,300.0,137.4940199209875
27,310.0,136.76203269785304
28,320.0,136.26754561322755
29,330.0,135.92952989816652
30,340.0,138.37354590428518
31,350.0,147.04656935941514
32,360.0,139.7498089040044
33,370.0,140.59816279286554
34,380.0,141.54057932598238
35,390.0,141.4932353339653
36,400.0,143.51091141019512
