,Mesh,c half axis (um),Time (years),Core_Mg (ppm)
0,an743_mesh,4000.0,0.0,430.0
1,an743_mesh,4000.0,10495.162706651996,429.999933631222
2,an743_mesh,4000.0,20990.32541330399,430.00014926836457
3,an743_mesh,4000.0,31485.48811995599,430.0000595271693
4,an743_mesh,4000.0,41980.65082660798,430.0001908397462
5,an743_mesh,4000.0,52475.81353325998,430.00013340034064
6,an743_mesh,4000.0,62970.97623991197,430.0002021916051
7,an743_mesh,4000.0,73466.13894656397,430.0001691532715
8,an743_mesh,4000.0,83961.30165321597,430.00020282468336
9,an743_mesh,4000.0,94456.46435986797,430.00018379374717
10,an743_mesh,4000.0,104951.62706651997,430.00019898821716
11,an743_mesh,4000.0,115446.78977317197,430.00018756853797
12,an743_mesh,4000.0,125941.95247982397,430.00019343138536
13,an743_mesh,4000.0,136437.11518647597,430.0001862111213
14,an743_mesh,4000.0,146932.27789312796,430.0001874100561
15,an743_mesh,4000.0,157427.44059977998,430.000182110471
16,an743_mesh,4000.0,167922.60330643196,430.00017938649273
17,an743_mesh,4000.0,178417.76601308398,430.00017013700597
18,an743_mesh,4000.0,188912.92871973597,430.00015221204546
19,an743_mesh,4000.0,199408.09142638798,430.00011002925294
20,an743_mesh,4000.0,209903.25413303997,430.00001907247935
21,an743_mesh,4000.0,220398.41683969198,429.99983414300516
22,an743_mesh,4000.0,230893.57954634397,429.9994815541235
23,an743_mesh,4000.0,241388.742252996,429.99885082559956
24,an743_mesh,4000.0,251883.904959648,429.99778137021406
25,an743_mesh,4000.0,262379.0676663,429.99605730593623
26,an743_mesh,4000.0,272874.230372952,429.9933942361413
27,an743_mesh,4000.0,283369.39307960396,429.98943831873567
28,an743_mesh,4000.0,293864.5557862559,429.98375669345273
29,an743_mesh,4000.0,304359.7184929079,429.9758413916869
30,an743_mesh,4000.0,314854.8811995599,429.96510476128344
31,an743_mesh,4000.0,325350.04390621185,429.9508877413384
32,an743_mesh,4000.0,335845.2066128638,429.93245999029506
33,an743_mesh,4000.0,346340.36931951577,429.9090312955299
34,an743_mesh,4000.0,356835.5320261678,429.8797552310292
