,Mesh,c half axis (um),Time (years),Core_Mg (ppm)
0,an743_mesh,4000.0,0.0,430.0
1,an743_mesh,4000.0,48867.04545080223,429.999933631222
2,an743_mesh,4000.0,97734.09090160446,430.0001492683647
3,an743_mesh,4000.0,146601.13635240667,430.0000595271693
4,an743_mesh,4000.0,195468.18180320892,430.0001908397462
5,an743_mesh,4000.0,244335.22725401114,430.0001334003407
6,an743_mesh,4000.0,293202.27270481334,430.000202191605
7,an743_mesh,4000.0,342069.31815561553,430.0001691532716
8,an743_mesh,4000.0,390936.36360641784,430.00020282468324
9,an743_mesh,4000.0,439803.4090572201,430.00018379374706
10,an743_mesh,4000.0,488670.45450802235,430.0001989882171
11,an743_mesh,4000.0,537537.4999588246,430.000187568538
12,an743_mesh,4000.0,586404.5454096268,430.0001934313851
13,an743_mesh,4000.0,635271.5908604291,430.00018621112133
14,an743_mesh,4000.0,684138.6363112314,430.000187410056
15,an743_mesh,4000.0,733005.6817620336,430.0001821104709
16,an743_mesh,4000.0,781872.7272128359,430.00017938649273
17,an743_mesh,4000.0,830739.7726636381,430.00017013700585
18,an743_mesh,4000.0,879606.8181144404,430.0001522120456
19,an743_mesh,4000.0,928473.8635652426,430.00011002925294
20,an743_mesh,4000.0,977340.9090160449,430.0000190724793
21,an743_mesh,4000.0,1026207.9544668471,429.99983414300516
22,an743_mesh,4000.0,1075074.9999176494,429.9994815541236
23,an743_mesh,4000.0,1123942.0453684516,429.99885082559956
24,an743_mesh,4000.0,1172809.090819254,429.99778137021417
25,an743_mesh,4000.0,1221676.1362700562,429.9960573059361
26,an743_mesh,4000.0,1270543.1817208584,429.9933942361414
27,an743_mesh,4000.0,1319410.2271716606,429.98943831873567
28,an743_mesh,4000.0,1368277.272622463,429.98375669345273
29,an743_mesh,4000.0,1417144.3180732653,429.9758413916868
30,an743_mesh,4000.0,1466011.3635240674,429.96510476128344
31,an743_mesh,4000.0,1514878.4089748696,429.95088774133836
32,an743_mesh,4000.0,1563745.454425672,429.932459990295
33,an743_mesh,4000.0,1612612.4998764743,429.9090312955298
34,an743_mesh,4000.0,1661479.5453272765,429.8797552310292
35,an743_mesh,4000.0,1710346.590778079,429.84374220876725
36,an743_mesh,4000.0,1759213.636228881,429.8000652401944
37,an743_mesh,4000.0,1808080.6816796833,429.7477732521058
38,an743_mesh,4000.0,1856947.7271304855,429.68589765921416
39,an743_mesh,4000.0,1905814.772581288,429.6134648806258
40,an743_mesh,4000.0,1954681.81803209,429.5295027367923
41,an743_mesh,4000.0,2003548.8634828923,429.4330514684969
42,an743_mesh,4000.0,2052415.9089336945,429.32316931022837
43,an743_mesh,4000.0,2101282.954384497,429.198941645173
44,an743_mesh,4000.0,2150149.999835299,429.0594854043935
45,an743_mesh,4000.0,2199017.0452861013,428.9039562508875
46,an743_mesh,4000.0,2247884.0907369033,428.73155168161827
47,an743_mesh,4000.0,2296751.1361877057,428.5415163144646
48,an743_mesh,4000.0,2345618.181638508,428.33314372623346
49,an743_mesh,4000.0,2394485.22708931,428.1057800274957
50,an743_mesh,4000.0,2443352.2725401125,427.858824564726
51,an743_mesh,4000.0,2492219.3179909145,427.591732024813
52,an743_mesh,4000.0,2541086.363441717,427.304012177855
53,an743_mesh,4000.0,2589953.4088925193,426.995230771162
54,an743_mesh,4000.0,2638820.4543433213,426.66500850497835
55,an743_mesh,4000.0,2687687.4997941237,426.31302096847816
56,an743_mesh,4000.0,2736554.545244926,425.93899703541217
57,an743_mesh,4000.0,2785421.590695728,425.54271807237893
58,an743_mesh,4000.0,2834288.6361465305,425.12401592393303
59,an743_mesh,4000.0,2883155.681597333,424.68277159378306
60,an743_mesh,4000.0,2932022.727048135,424.2189129655187
61,an743_mesh,4000.0,2980889.7724989373,423.73241312540665
62,an743_mesh,4000.0,3029756.8179497393,423.2232879397323
63,an743_mesh,4000.0,3078623.8634005417,422.6915941567069
64,an743_mesh,4000.0,3127490.908851344,422.1374269370525
65,an743_mesh,4000.0,3176357.954302146,421.56091784399985
66,an743_mesh,4000.0,3225224.9997529485,420.9622324016002
67,an743_mesh,4000.0,3274092.045203751,420.34156805676776
68,an743_mesh,4000.0,3322959.090654553,419.69915182054746
69,an743_mesh,4000.0,3371826.1361053553,419.0352382648997
70,an743_mesh,4000.0,3420693.181556158,418.35010728597575
71,an743_mesh,4000.0,3469560.2270069597,417.6440621807534
72,an743_mesh,4000.0,3518427.272457762,416.91742755815915
73,an743_mesh,4000.0,3567294.317908564,416.1705475264348
74,an743_mesh,4000.0,3616161.3633593665,415.40378376742
75,an743_mesh,4000.0,3665028.408810169,414.61751385425845
76,an743_mesh,4000.0,3713895.454260971,413.81212949598364
77,an743_mesh,4000.0,3762762.4997117734,412.9880349964208
78,an743_mesh,4000.0,3811629.545162576,412.1456456700296
79,an743_mesh,4000.0,3860496.5906133777,411.2853864462197
80,an743_mesh,4000.0,3909363.63606418,410.4076904528537
81,an743_mesh,4000.0,3958230.6815149826,409.5129977652771
82,an743_mesh,4000.0,4007097.7269657846,408.60175415066544
83,an743_mesh,4000.0,4055964.772416587,407.67440995753407
84,an743_mesh,4000.0,4104831.817867389,406.73141901195385
85,an743_mesh,4000.0,4153698.8633181914,405.7732376408662
86,an743_mesh,4000.0,4202565.908768994,404.8003237098529
87,an743_mesh,4000.0,4251432.954219796,403.81313577199865
88,an743_mesh,4000.0,4300299.999670598,402.81213223619255
89,an743_mesh,4000.0,4349167.045121401,401.79777063235633
90,an743_mesh,4000.0,4398034.090572203,400.77050689901205
91,an743_mesh,4000.0,4446901.136023005,399.73079475526663
92,an743_mesh,4000.0,4495768.1814738065,398.679085096491
93,an743_mesh,4000.0,4544635.226924609,397.6158254633788
94,an743_mesh,4000.0,4593502.272375411,396.54145953494054
95,an743_mesh,4000.0,4642369.317826213,395.4564266851516
96,an743_mesh,4000.0,4691236.363277016,394.36116156298135
97,an743_mesh,4000.0,4740103.408727818,393.2560937275249
98,an743_mesh,4000.0,4788970.45417862,392.1416473054178
99,an743_mesh,4000.0,4837837.499629422,391.0182406958408
100,an743_mesh,4000.0,4886704.545080225,389.88628629636065
101,an743_mesh,4000.0,4935571.590531027,388.746190269767
102,an743_mesh,4000.0,4984438.635981829,387.5983523300936
103,an743_mesh,4000.0,5033305.681432632,386.44316556385877
104,an743_mesh,4000.0,5082172.726883434,385.2810162687343
105,an743_mesh,4000.0,5131039.772334236,384.1122838223815
106,an743_mesh,4000.0,5179906.817785039,382.93734056693455
107,an743_mesh,4000.0,5228773.863235841,381.7565517192365
108,an743_mesh,4000.0,5277640.908686643,380.57027529497384
109,an743_mesh,4000.0,5326507.954137445,379.37886205471307
110,an743_mesh,4000.0,5375374.999588247,378.1826554621505
111,an743_mesh,4000.0,5424242.045039049,376.98199166091507
112,an743_mesh,4000.0,5473109.090489852,375.77719946199335
113,an743_mesh,4000.0,5521976.135940654,374.56860034678795
114,an743_mesh,4000.0,5570843.181391456,373.3565084793239
115,an743_mesh,4000.0,5619710.226842259,372.14123073154906
116,an743_mesh,4000.0,5668577.272293061,370.9230667164247
117,an743_mesh,4000.0,5717444.317743863,369.70230883190845
118,an743_mesh,4000.0,5766311.363194666,368.47924231148977
119,an743_mesh,4000.0,5815178.408645468,367.2541452837112
120,an743_mesh,4000.0,5864045.45409627,366.0272888371221
121,an743_mesh,4000.0,5912912.499547072,364.7989370925709
122,an743_mesh,4000.0,5961779.544997875,363.56934727992575
123,an743_mesh,4000.0,6010646.590448677,362.3387698207115
124,an743_mesh,4000.0,6059513.635899479,361.1074484142794
125,an743_mesh,4000.0,6108380.681350281,359.8756201286707
126,an743_mesh,4000.0,6157247.726801083,358.64351549421997
127,an743_mesh,4000.0,6206114.772251885,357.4113586007999
128,an743_mesh,4000.0,6254981.817702688,356.179367197111
129,an743_mesh,4000.0,6303848.86315349,354.9477527927113
130,an743_mesh,4000.0,6352715.908604292,353.7167207614791
131,an743_mesh,4000.0,6401582.954055095,352.4864704470514
132,an743_mesh,4000.0,6450449.999505897,351.2571952691618
133,an743_mesh,4000.0,6499317.044956699,350.02908283130023
134,an743_mesh,4000.0,6548184.090407502,348.802315028817
135,an743_mesh,4000.0,6597051.135858304,347.57706815779113
136,an743_mesh,4000.0,6645918.181309106,346.35351302395185
137,an743_mesh,4000.0,6694785.226759909,345.13181505189755
138,an743_mesh,4000.0,6743652.272210711,343.9121343940311
139,an743_mesh,4000.0,6792519.317661513,342.6946260394033
140,an743_mesh,4000.0,6841386.363112316,341.4794399219872
141,an743_mesh,4000.0,6890253.4085631175,340.2667210285366
142,an743_mesh,4000.0,6939120.454013919,339.0566095056364
143,an743_mesh,4000.0,6987987.499464721,337.8492407660689
144,an743_mesh,4000.0,7036854.544915524,336.64474559417545
145,an743_mesh,4000.0,7085721.590366326,335.4432502503121
146,an743_mesh,4000.0,7134588.635817128,334.2448765741425
147,an743_mesh,4000.0,7183455.681267931,333.04974208684405
148,an743_mesh,4000.0,7232322.726718733,331.85796009202403
149,an743_mesh,4000.0,7281189.772169535,330.6696397754059
150,an743_mesh,4000.0,7330056.817620338,329.48488630312545
151,an743_mesh,4000.0,7378923.86307114,328.3038009186844
152,an743_mesh,4000.0,7427790.908521942,327.1264810384377
153,an743_mesh,4000.0,7476657.953972745,325.95302034565475
154,an743_mesh,4000.0,7525524.999423547,324.783508883056
155,an743_mesh,4000.0,7574392.044874349,323.6180331438631
156,an743_mesh,4000.0,7623259.090325152,322.4566761612866
