,Mesh,c half axis (um),Time (years),Core_Mg (ppm)
0,an743_mesh,2000.0,0.0,430.0
1,an743_mesh,2000.0,12216.761362700558,429.99993363120905
2,an743_mesh,2000.0,24433.522725401115,430.00014926834126
3,an743_mesh,2000.0,36650.28408810167,430.0000595271349
4,an743_mesh,2000.0,48867.04545080223,430.0001908397003
5,an743_mesh,2000.0,61083.806813502786,430.00013340028374
6,an743_mesh,2000.0,73300.56817620333,430.0002021915366
7,an743_mesh,2000.0,85517.32953890388,430.0001691531917
8,an743_mesh,2000.0,97734.09090160446,430.00020282459144
9,an743_mesh,2000.0,109950.85226430502,430.00018379364303
10,an743_mesh,2000.0,122167.61362700559,430.00019898810086
11,an743_mesh,2000.0,134384.37498970615,430.0001875684088
12,an743_mesh,2000.0,146601.1363524067,430.00019343124336
13,an743_mesh,2000.0,158817.89771510728,430.00018621096604
14,an743_mesh,2000.0,171034.65907780785,430.0001874098874
15,an743_mesh,2000.0,183251.4204405084,430.0001821102883
16,an743_mesh,2000.0,195468.18180320898,430.0001793862964
17,an743_mesh,2000.0,207684.94316590953,430.0001701367951
18,an743_mesh,2000.0,219901.7045286101,430.00015221182036
19,an743_mesh,2000.0,232118.46589131065,430.00011002901283
20,an743_mesh,2000.0,244335.22725401123,430.00001907222435
21,an743_mesh,2000.0,256551.98861671178,429.9998341427348
22,an743_mesh,2000.0,268768.74997941236,429.99948155383777
23,an743_mesh,2000.0,280985.5113421129,429.99885082529784
24,an743_mesh,2000.0,293202.2727048135,429.99778136989653
25,an743_mesh,2000.0,305419.03406751406,429.99605730560233
26,an743_mesh,2000.0,317635.7954302146,429.99339423579096
27,an743_mesh,2000.0,329852.55679291516,429.9894383183685
28,an743_mesh,2000.0,342069.31815561577,429.9837566930686
29,an743_mesh,2000.0,354286.0795183163,429.9758413912855
30,an743_mesh,2000.0,366502.84088101686,429.9651047608647
31,an743_mesh,2000.0,378719.6022437174,429.9508877409018
32,an743_mesh,2000.0,390936.363606418,429.9324599898406
33,an743_mesh,2000.0,403153.12496911857,429.90903129505705
34,an743_mesh,2000.0,415369.8863318191,429.8797552305382
35,an743_mesh,2000.0,427586.6476945197,429.8437422082576
36,an743_mesh,2000.0,439803.40905722027,429.8000652396659
37,an743_mesh,2000.0,452020.1704199208,429.7477732515581
38,an743_mesh,2000.0,464236.93178262137,429.68589765864726
39,an743_mesh,2000.0,476453.693145322,429.6134648800394
40,an743_mesh,2000.0,488670.4545080225,429.52950273618615
41,an743_mesh,2000.0,500887.21587072307,429.43305146787077
42,an743_mesh,2000.0,513103.9772334236,429.3231693095821
43,an743_mesh,2000.0,525320.7385961242,429.1989416445063
44,an743_mesh,2000.0,537537.4999588247,429.05948540370616
45,an743_mesh,2000.0,549754.2613215253,428.9039562501792
46,an743_mesh,2000.0,561971.0226842258,428.7315516808891
47,an743_mesh,2000.0,574187.7840469264,428.5415163137144
48,an743_mesh,2000.0,586404.545409627,428.33314372546164
49,an743_mesh,2000.0,598621.3067723275,428.1057800267026
50,an743_mesh,2000.0,610838.0681350281,427.85882456391107
51,an743_mesh,2000.0,623054.8294977286,427.591732023976
52,an743_mesh,2000.0,635271.5908604292,427.304012176996
53,an743_mesh,2000.0,647488.3522231298,426.99523077028107
54,an743_mesh,2000.0,659705.1135858303,426.6650085040749
55,an743_mesh,2000.0,671921.8749485309,426.313020967552
56,an743_mesh,2000.0,684138.6363112315,425.93899703446357
57,an743_mesh,2000.0,696355.397673932,425.5427180714074
58,an743_mesh,2000.0,708572.1590366326,425.12401592293855
59,an743_mesh,2000.0,720788.9203993332,424.6827715927654
60,an743_mesh,2000.0,733005.6817620337,424.218912964478
61,an743_mesh,2000.0,745222.4431247343,423.73241312434243
62,an743_mesh,2000.0,757439.2044874348,423.22328793864483
63,an743_mesh,2000.0,769655.9658501354,422.69159415559574
64,an743_mesh,2000.0,781872.727212836,422.1374269359177
65,an743_mesh,2000.0,794089.4885755365,421.56091784284143
66,an743_mesh,2000.0,806306.2499382371,420.96223240041763
67,an743_mesh,2000.0,818523.0113009377,420.34156805556154
68,an743_mesh,2000.0,830739.7726636382,419.6991518193169
69,an743_mesh,2000.0,842956.5340263388,419.0352382636452
70,an743_mesh,2000.0,855173.2953890394,418.3501072846967
71,an743_mesh,2000.0,867390.0567517399,417.64406217945043
72,an743_mesh,2000.0,879606.8181144405,416.9174275568315
73,an743_mesh,2000.0,891823.579477141,416.1705475250827
74,an743_mesh,2000.0,904040.3408398416,415.4037837660434
75,an743_mesh,2000.0,916257.1022025422,414.6175138528573
76,an743_mesh,2000.0,928473.8635652427,413.8121294945578
77,an743_mesh,2000.0,940690.6249279433,412.98803499497046
78,an743_mesh,2000.0,952907.386290644,412.14564566855427
79,an743_mesh,2000.0,965124.1476533444,411.28538644471973
80,an743_mesh,2000.0,977340.909016045,410.4076904513289
81,an743_mesh,2000.0,989557.6703787456,409.5129977637273
82,an743_mesh,2000.0,1001774.4317414461,408.6017541490911
83,an743_mesh,2000.0,1013991.1931041467,407.6744099559344
84,an743_mesh,2000.0,1026207.9544668472,406.7314190103298
85,an743_mesh,2000.0,1038424.7158295478,405.77323763921686
86,an743_mesh,2000.0,1050641.4771922485,404.80032370817855
87,an743_mesh,2000.0,1062858.238554949,403.81313577029937
88,an743_mesh,2000.0,1075074.9999176494,402.8121322344682
89,an743_mesh,2000.0,1087291.7612803502,401.7977706306069
90,an743_mesh,2000.0,1099508.5226430506,400.7705068972376
91,an743_mesh,2000.0,1111725.2840057511,399.73079475346725
92,an743_mesh,2000.0,1123942.0453684516,398.67908509466645
93,an743_mesh,2000.0,1136158.8067311523,397.6158254615293
94,an743_mesh,2000.0,1148375.5680938528,396.5414595330661
95,an743_mesh,2000.0,1160592.3294565533,395.4564266832521
96,an743_mesh,2000.0,1172809.090819254,394.36116156105686
97,an743_mesh,2000.0,1185025.8521819545,393.25609372557517
98,an743_mesh,2000.0,1197242.613544655,392.1416473034432
99,an743_mesh,2000.0,1209459.3749073555,391.0182406938414
100,an743_mesh,2000.0,1221676.1362700562,389.8862862943361
101,an743_mesh,2000.0,1233892.8976327567,388.7461902677178
102,an743_mesh,2000.0,1246109.6589954572,387.59835232801925
103,an743_mesh,2000.0,1258326.420358158,386.44316556175954
104,an743_mesh,2000.0,1270543.1817208584,385.2810162666102
105,an743_mesh,2000.0,1282759.943083559,384.1122838202326
106,an743_mesh,2000.0,1294976.7044462597,382.93734056476063
107,an743_mesh,2000.0,1307193.4658089601,381.75655171703806
108,an743_mesh,2000.0,1319410.2271716606,380.57027529275064
109,an743_mesh,2000.0,1331626.9885343614,379.3788620524649
110,an743_mesh,2000.0,1343843.7498970618,378.1826554598778
111,an743_mesh,2000.0,1356060.5112597623,376.98199165861763
112,an743_mesh,2000.0,1368277.272622463,375.77719945967124
113,an743_mesh,2000.0,1380494.0339851636,374.5686003444413
114,an743_mesh,2000.0,1392710.795347864,373.35650847695285
115,an743_mesh,2000.0,1404927.5567105648,372.1412307291534
116,an743_mesh,2000.0,1417144.3180732653,370.92306671400473
117,an743_mesh,2000.0,1429361.0794359657,369.702308829464
118,an743_mesh,2000.0,1441577.8407986665,368.479242309021
119,an743_mesh,2000.0,1453794.602161367,367.2541452812182
120,an743_mesh,2000.0,1466011.3635240674,366.02728883460475
121,an743_mesh,2000.0,1478228.124886768,364.7989370900293
122,an743_mesh,2000.0,1490444.8862494687,363.56934727736
123,an743_mesh,2000.0,1502661.6476121692,362.3387698181216
124,an743_mesh,2000.0,1514878.4089748696,361.1074484116656
125,an743_mesh,2000.0,1527095.1703375704,359.8756201260329
126,an743_mesh,2000.0,1539311.9317002709,358.64351549155816
127,an743_mesh,2000.0,1551528.6930629713,357.41135859811413
128,an743_mesh,2000.0,1563745.454425672,356.17936719440155
129,an743_mesh,2000.0,1575962.2157883726,354.947752789978
130,an743_mesh,2000.0,1588178.977151073,353.7167207587222
131,an743_mesh,2000.0,1600395.7385137738,352.48647044427094
132,an743_mesh,2000.0,1612612.4998764743,351.2571952663576
133,an743_mesh,2000.0,1624829.2612391748,350.0290828284726
134,an743_mesh,2000.0,1637046.0226018755,348.8023150259659
135,an743_mesh,2000.0,1649262.783964576,347.57706815491656
136,an743_mesh,2000.0,1661479.5453272765,346.35351302105386
137,an743_mesh,2000.0,1673696.3066899772,345.13181504897636
138,an743_mesh,2000.0,1685913.0680526777,343.9121343910867
139,an743_mesh,2000.0,1698129.8294153782,342.6946260364357
140,an743_mesh,2000.0,1710346.590778079,341.47943991899666
141,an743_mesh,2000.0,1722563.3521407794,340.2667210255228
142,an743_mesh,2000.0,1734780.1135034799,339.0566095025999
143,an743_mesh,2000.0,1746996.8748661804,337.8492407630094
144,an743_mesh,2000.0,1759213.636228881,336.6447455910932
145,an743_mesh,2000.0,1771430.3975915816,335.44325024720706
146,an743_mesh,2000.0,1783647.158954282,334.2448765710148
147,an743_mesh,2000.0,1795863.9203169828,333.04974208369356
148,an743_mesh,2000.0,1808080.6816796833,331.8579600888511
149,an743_mesh,2000.0,1820297.4430423838,330.6696397722104
150,an743_mesh,2000.0,1832514.2044050845,329.48488629990754
151,an743_mesh,2000.0,1844730.965767785,328.3038009154442
152,an743_mesh,2000.0,1856947.7271304855,327.1264810351752
153,an743_mesh,2000.0,1869164.4884931862,325.9530203423701
154,an743_mesh,2000.0,1881381.2498558867,324.7835088797491
155,an743_mesh,2000.0,1893598.0112185872,323.6180331405343
156,an743_mesh,2000.0,1905814.772581288,322.4566761579356
157,an743_mesh,2000.0,1918031.5339439884,321.2995175931107
158,an743_mesh,2000.0,1930248.2953066889,320.1466338215357
159,an743_mesh,2000.0,1942465.0566693896,318.9980980178242
160,an743_mesh,2000.0,1954681.81803209,317.85398023894993
161,an743_mesh,2000.0,1966898.5793947906,316.71434750590095
162,an743_mesh,2000.0,1979115.3407574913,315.57926388374347
163,an743_mesh,2000.0,1991332.1021201918,314.44879056011536
164,an743_mesh,2000.0,2003548.8634828923,313.32298592213914
165,an743_mesh,2000.0,2015765.6248455928,312.20190563177607
166,an743_mesh,2000.0,2027982.3862082935,311.08560269961777
167,an743_mesh,2000.0,2040199.147570994,309.9741275571358
168,an743_mesh,2000.0,2052415.9089336945,308.8675281273957
169,an743_mesh,2000.0,2064632.6702963952,307.7658498942518
170,an743_mesh,2000.0,2076849.4316590957,306.6691359700377
171,an743_mesh,2000.0,2089066.1930217962,305.5774271617686
172,an743_mesh,2000.0,2101282.954384497,304.4907620358711
173,an743_mesh,2000.0,2113499.7157471976,303.40917698146234
174,an743_mesh,2000.0,2125716.477109898,302.3327062721928
175,an743_mesh,2000.0,2137933.2384725986,301.2613821266766
176,an743_mesh,2000.0,2150149.999835299,300.19523476752704
177,an743_mesh,2000.0,2162366.7611979996,299.1342924790182
178,an743_mesh,2000.0,2174583.5225607003,298.0785816633961
179,an743_mesh,2000.0,2186800.2839234006,297.0281268958585
180,an743_mesh,2000.0,2199017.0452861013,295.9829509782266
181,an743_mesh,2000.0,2211233.806648802,294.94307499133004
182,an743_mesh,2000.0,2223450.5680115023,293.9085183461293
183,an743_mesh,2000.0,2235667.329374203,292.87929883359567
