Nested Sampling Global Log-Evidence           :   -0.954983579748486022E+02  +/-    0.170729688307863087E+00

Dim No.       Mean        Sigma
   1    0.803766993249731286E+03    0.273964093547542653E+02
   2    0.241563855332411066E+03    0.198681758930443420E+01
   3    0.139866154003754151E+02    0.136263537201555573E+01
   4   -0.285066552252674690E+02    0.203498112050335100E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.786464875914227150E+03
   2    0.243222034302434139E+03
   3    0.127464808236933571E+02
   4   -0.238536328154556756E+02

MAP Parameters
Dim No.        Parameter
   1    0.786464875914227150E+03
   2    0.243222034302434139E+03
   3    0.127464808236933571E+02
   4   -0.238536328154556756E+02
