,T,Mg_e,XAn_1,XAn_2
0,815.4044096894119,237.1205071992689,16.71635830687222,-35.723060891817326
1,869.039044121067,242.48482431735653,13.152633157165415,-32.042406492724474
2,779.3239513538722,244.8616217371731,15.644258709888431,-33.27487960048713
3,893.1417073821722,235.39320319081259,12.655970392466863,-30.78144095334214
4,1001.9340194955439,239.3165512252025,13.244451724884318,-33.36260757157906
5,816.6504966921094,240.2785935756673,14.65994768061554,-33.82185300934462
6,973.8148033369266,235.3125458167239,12.375538425053549,-32.80305796264755
7,828.4635300796776,244.16534707430404,13.016992971802864,-31.320595094839117
8,895.8067553848002,237.09148752172536,14.12668878078292,-31.986999095017076
9,810.3574851427499,235.5288183732843,15.378128551906977,-32.671347967458786
10,929.0166023989776,237.52110951940114,12.824190750643844,-32.46040031598947
11,939.2797319193078,235.72938187200543,12.260664820892785,-30.976924053286755
12,971.5543957233887,238.01528956319493,13.360178495661376,-33.86474577663254
13,807.425184612185,242.08825637760418,14.85807695573467,-33.602745358661664
14,841.901164286166,237.97424097196404,15.560290467978499,-33.44005924701198
15,877.3324821289699,239.63133751757408,14.022837478137966,-31.781027080700383
16,811.0159477109656,243.2502551159987,15.692401065889335,-33.43833125825525
17,777.7038830356357,247.70539707016508,13.209005236619271,-29.541253183784917
18,923.3301993503233,237.15981732509627,12.16891291504022,-30.827367420215896
19,828.7737216907226,239.77464380159603,15.552168567653142,-33.54270324442193
20,821.2561317998983,235.9415953433816,13.720847383779107,-30.40945906498665
21,903.2472280743648,239.07938834543296,13.239980794750373,-31.13261059418284
22,894.9513806635596,238.9718712189845,13.079346274076638,-31.80469196837999
23,854.0139090887844,241.04639726082544,13.997760425548616,-31.35052845125115
24,810.8980601942869,238.485797238107,17.32615399826149,-35.33529200719487
25,801.8917592666594,238.39558861396682,14.47977063091025,-32.01482688615782
26,840.8059375743612,240.19908162331623,15.042270651614869,-32.439872336354114
27,823.0858754086242,241.82879662053728,12.915504262084259,-31.434923437275344
28,816.2356540278174,239.44591948223734,16.116217628426444,-34.29579180122407
29,776.8472147997487,241.94593911848992,15.251230946878803,-32.32401281187976
30,822.8694048923328,240.0326992088217,13.552691835196574,-31.972342516997536
31,871.2622254320904,238.5882559167072,14.428271540079365,-30.84039277435272
32,779.2157677126135,240.75756925994676,17.10289928281231,-34.411473589365315
33,986.6888159631036,237.5359428553375,12.599178922385127,-32.37648822714476
34,797.8575480718546,243.9032516184837,13.111258024441977,-30.873087272425035
35,817.8126100735758,240.94073252905608,16.587370026528397,-33.68576313093826
36,823.046512192938,240.66164574875043,14.12252382282112,-32.48775249207233
37,992.5435426986884,238.4253359311939,12.521153328556064,-31.986731676321128
38,855.7069893671548,239.24727761177346,13.498597033339397,-31.463689679593692
39,850.4991887698578,241.92252678291777,12.833843570855466,-30.84552988244854
40,943.4831617703048,237.3119507043549,12.14946953159848,-30.95964056106343
41,826.9375375917965,237.62919211626655,15.990242227949786,-33.38857566782339
42,819.2512052156574,238.37981542660825,17.139090932669962,-34.378720563863155
43,808.8137869099655,238.1083757487982,16.73049971975007,-34.597417838260895
44,816.1029893627434,241.05639326200406,13.569241305592321,-31.907881908369944
45,917.9764843028734,239.80512954836516,12.198079327734096,-29.756529234289793
46,808.7704095175804,235.36915930990799,15.836052455241438,-32.34971855482795
47,792.3532673592889,242.10858227965466,15.125102634943602,-32.80285799594925
48,895.7260790149071,240.52537384305194,12.305905829284676,-30.787080136733564
49,844.1878680853514,240.79047371060727,14.219525692931164,-31.59409529250774
50,832.0829587375255,238.35108554675145,15.583048163322177,-32.95081319254849
51,910.113813010157,238.71059179761423,12.417385370714289,-30.33074728541523
52,786.4732749137592,240.93403481685655,16.84134471110541,-34.23264173630617
53,878.3454172372401,239.04026211389618,13.50747774333955,-30.831867292791493
54,844.7176062228584,241.03871136751832,13.494404660288646,-31.342310469819306
55,834.3179722327593,241.20011915200917,14.743188448992429,-31.854729404979974
56,814.1143651435447,238.2033609861508,16.48942560691531,-34.22071122620766
57,831.2797787990493,237.4094039383325,15.083317901006108,-32.412658132335515
58,777.295324337666,243.0822340982616,14.704145094838475,-31.531679912347165
59,877.0953829754712,241.11563088507555,12.36321610086685,-30.453147123344998
60,1010.641635761401,237.05567216562426,11.388880525514626,-31.079942863904304
61,819.6288326964268,240.56972795533414,14.276313751518709,-32.37319427385297
62,817.0912643600215,239.26218439886418,15.456643827616183,-33.361334762754794
63,938.6578409770947,238.0747402170286,12.026134653127231,-29.974531516946424
64,821.5400227311228,236.25879268102784,16.106601084914452,-32.98748630732599
65,840.9728438191792,239.7445269234733,13.3385536947841,-31.28293648771617
66,803.8700283772864,239.22266070774793,16.804811054045118,-34.48386150050031
67,885.0395947887944,240.64515912357302,12.749231207661508,-30.126433805421595
68,1009.8617027836316,240.6001118056489,11.468994284992684,-30.354620634253514
69,832.2861290920898,241.17757901225235,13.034166717935936,-31.047244773843527
70,814.7593775306467,241.81900053832797,14.506766259242683,-32.445236746280116
71,953.2063939325016,239.9159422743208,12.001782062832781,-31.17500414480488
72,834.3566405194325,236.86530822052168,14.281609793521381,-31.228772706350107
73,824.4416266017058,243.09247209089662,12.983788410451607,-30.67827885287837
74,978.6546967669051,238.67549161590176,12.125636164706592,-31.40459318169765
75,849.7468431843382,240.01576904159808,12.586144152629725,-30.503961980090182
76,805.5371415756092,237.45339884355514,15.165130334514654,-32.2643458213152
77,877.2578325578319,239.3361829195695,12.794501801838663,-30.451329726868323
78,997.5356367817462,240.90444887684598,11.730368730738105,-32.60712024985514
79,980.1667612556278,237.86239903022857,11.830414997792836,-29.933140432222807
80,779.3854395830908,241.38962549082592,16.511123782594293,-33.43885198096655
81,938.7157199479487,239.47166213716048,11.897138441950162,-29.994880700200714
82,779.500547019656,247.18474763765073,13.883554785945966,-29.55638525074609
83,800.6747765094307,242.01385367909484,15.902435695343005,-33.36514087105604
84,791.7435951683352,242.636778507334,15.453973207227142,-32.757233200884414
85,820.7795976894859,240.2566173416599,16.054164088156224,-33.050354963476806
86,803.0341797286063,238.04381032286346,16.344538593088178,-33.71723743170637
87,824.0323812088585,238.66789643436866,15.109170919674213,-32.58250290771096
88,801.2718354982766,241.98612557674633,14.016354894528694,-31.68101019263188
89,831.5583394789917,238.2583375985427,15.155576484809966,-32.299841950009515
90,811.8709888577074,242.02897269673184,14.029284583465259,-31.943909203008026
91,807.873946842139,241.93007864301876,13.32845147436049,-31.13795220108205
92,907.7208975920987,240.10865545253466,11.893428360418476,-29.681135636654385
93,793.5688827244987,245.90933890357647,14.168778078063507,-30.453852240068088
94,836.3809693689385,239.62076650359765,14.805211047157327,-31.89231194295341
95,842.3244778763037,238.21181488757676,14.594823082567931,-31.593651022383014
96,894.1386710329136,240.6407027335346,12.591245760673033,-29.01340899086651
97,818.8050922938419,242.15170241529094,12.725335606805622,-30.59468601671057
98,829.5557695951577,241.05211971515547,13.371114023248253,-31.1065014717114
99,853.830464868161,240.8054747102045,12.084159336379845,-29.863719445065414
100,796.9488274561165,243.30014953328535,13.660798853675178,-31.01567818773294
101,797.1811880381792,237.95959597349332,15.870528214384798,-32.83405120623557
102,811.0436034489524,241.49417825571751,14.941181539533737,-32.716425325700285
103,794.5664809173716,239.32966708139602,18.061790468767892,-35.11913107206423
104,811.913036904051,241.9410807272777,14.809910134764447,-32.49454766080351
105,826.0843706568425,237.20002098737694,16.86246079125758,-32.928477767284456
106,790.7976220948669,241.01044911517963,16.535761592154493,-33.764722335596716
107,782.9438387180912,242.50585776068502,15.447743016931234,-32.33532754778839
108,813.2798530878432,244.20515460729433,13.505716194060685,-30.73844408990547
109,1006.9565072754858,238.3702658642858,11.54535506129966,-31.32523188919641
110,838.1714439042568,242.71253080603597,13.574285547076812,-30.053654238554678
111,821.2444854488972,240.35514572917214,15.920923630276363,-32.77395193288047
112,830.9979859428538,236.73005716927497,16.145772710682646,-32.29578869571703
113,803.7116582450391,236.439537544446,16.547605139819172,-33.2208164792581
114,1007.2078751995999,240.18357735905172,11.46028718956593,-31.227859180871672
115,846.5592319039533,242.00097183870642,13.860252708947218,-29.488211083290693
116,819.7935957340005,239.6168280064516,15.99543778913765,-33.10108991806071
117,820.9840273977135,238.2167536517935,15.823308730735263,-32.98339478652851
118,784.6043539691847,239.95513391600474,17.435576161956302,-34.29128734076444
119,797.7746860232851,235.52473452490048,17.348673994982672,-33.42051078688856
120,818.102518792068,237.3078719788721,14.86756195909373,-31.85836793730323
121,805.2049070724637,239.85371796980715,12.980325588404156,-29.983657827095875
122,795.5276421531506,240.40758262002743,15.558538405143747,-32.89162273065986
123,972.6698562555118,240.69178532605284,11.498518911755479,-31.243548419321662
124,822.04326523183,239.0297906795475,15.914980188570455,-32.939102972268294
125,1001.2525683055753,242.18331180196142,10.848667409301097,-30.189877948033644
126,785.9973026319295,242.82455713904278,14.716234554871331,-31.59155208943864
127,785.4273097132925,240.20434341988255,15.804273210451584,-32.59717784412795
128,783.1981838098509,240.52899107317646,16.235555221909802,-33.01256698564271
129,791.3153338697373,243.36029382502878,15.25143513358714,-32.20356830117058
130,955.6556629219128,241.12817986709115,11.24337572531639,-30.948748591881177
131,835.5110235189297,238.78747378981765,15.56074096639245,-31.817949287785652
132,924.5503176738905,240.27291900230517,10.64204638540909,-29.383395649507904
133,826.9540898810551,236.60402668001572,14.314848365520062,-30.66427474002679
134,857.6446179109387,240.8468681172733,12.813732501787905,-29.77177457535092
