    0.101736056208610535E+04    0.476271426805522367E+03    0.146137021819745705E+02   -0.339973317037370677E+02   -0.138435781082969497E+05   -0.599146350544150419E+01    1
    0.117035400867462158E+04    0.456162046964356421E+03    0.188956859416384972E+02   -0.388718096876756434E+02   -0.128680606141111475E+05   -0.599396350544151169E+01    1
    0.930426371097564697E+03    0.450286279965949916E+03    0.155272072556615921E+02   -0.358230761275650380E+02   -0.110821276706815243E+05   -0.599646350544151474E+01    1
    0.101271497011184692E+04    0.444810488334981642E+03    0.157646091876933632E+02   -0.368144677355107035E+02   -0.106556172815682639E+05   -0.599896350544151957E+01    1
    0.111686972379684448E+04    0.426629715175079070E+03    0.182465479517003892E+02   -0.393459120835490026E+02   -0.951809647130404664E+04   -0.600146350544151552E+01    1
    0.120751244425773621E+04    0.423453917886858449E+03    0.161236068792635017E+02   -0.347804902119692017E+02   -0.899917297707684156E+04   -0.600396350544151858E+01    1
    0.108233117461204529E+04    0.414631670492928833E+03    0.186448550471391172E+02   -0.385216735395507968E+02   -0.841832095012225363E+04   -0.600646350544151630E+01    1
    0.102287854552268982E+04    0.412818293403851044E+03    0.169860285448249364E+02   -0.373234748532911169E+02   -0.789179138006541416E+04   -0.600896350544152469E+01    1
    0.105263698697090149E+04    0.412814138780618237E+03    0.149679944894400148E+02   -0.339636803424747171E+02   -0.763906856320960378E+04   -0.601146350544151886E+01    1
    0.124093418717384338E+04    0.403123735514242696E+03    0.175362002468264251E+02   -0.386746068805883283E+02   -0.746133331065004222E+04   -0.601396350544150859E+01    1
    0.113996917605400085E+04    0.400147144810497593E+03    0.193217622181627959E+02   -0.388388560548020649E+02   -0.737540029871539446E+04   -0.601646350544151520E+01    1
    0.129019895792007446E+04    0.402483613988189063E+03    0.163697214653161893E+02   -0.382140907048730583E+02   -0.723663962230849484E+04   -0.601896350544151559E+01    1
    0.100136474370956421E+04    0.405381080794847776E+03    0.165033710541528684E+02   -0.365100645228851377E+02   -0.717254301093562117E+04   -0.602146350544152753E+01    1
    0.987528103590011597E+03    0.396758060639187420E+03    0.184963959983269604E+02   -0.388498145277249805E+02   -0.674012448635393412E+04   -0.602396350544153325E+01    1
    0.116067792773246765E+04    0.389738994517322396E+03    0.179230154364177352E+02   -0.407721265801935573E+02   -0.631247778594859392E+04   -0.602646350544152298E+01    1
    0.926962840557098389E+03    0.393176777010702608E+03    0.177858921725754904E+02   -0.385562646159636486E+02   -0.629781315860368522E+04   -0.602896350544150561E+01    1
    0.129241287708282471E+04    0.383771550339752253E+03    0.193668443904322132E+02   -0.421121986623471543E+02   -0.618850367013479172E+04   -0.603146350544150955E+01    1
    0.109325144290924072E+04    0.388932284830656499E+03    0.176952508266479960E+02   -0.405920374331135179E+02   -0.610358205504595935E+04   -0.603396350544152682E+01    1
    0.846953499317169189E+03    0.396270583060080924E+03    0.167001062557975608E+02   -0.382161553698286696E+02   -0.606333839452500706E+04   -0.603646350544153165E+01    1
    0.104647675752639771E+04    0.390089736585171977E+03    0.153071330701224326E+02   -0.349731254202987287E+02   -0.585952132986519155E+04   -0.603896350544152227E+01    1
    0.773808383941650391E+03    0.401807959037125443E+03    0.171014234125791234E+02   -0.353822572734088681E+02   -0.584126612428656881E+04   -0.604146350544151556E+01    1
    0.101405566334724426E+04    0.381161412648618125E+03    0.196036209399202122E+02   -0.371709548765357454E+02   -0.574792310737605567E+04   -0.604396350544152039E+01    1
    0.780172640085220337E+03    0.397917225929467747E+03    0.181454805032626219E+02   -0.376431498300724172E+02   -0.571408488711378777E+04   -0.604646350544152966E+01    1
    0.865387207269668579E+03    0.380591614738127817E+03    0.207687227756438126E+02   -0.416920183347475728E+02   -0.551497373942564172E+04   -0.604896350544152206E+01    1
    0.106811301708221436E+04    0.882884800704161421E+02    0.151119427735732614E+02   -0.352364288246174269E+02   -0.528958880446930016E+04   -0.605146350544152156E+01    1
    0.718650913238525391E+03    0.410853722989533367E+03    0.187872278398040962E+02   -0.405350742957801273E+02   -0.522027047711661726E+04   -0.605396350544152995E+01    1
    0.105499489307403564E+04    0.380574894810655906E+03    0.145348110749298005E+02   -0.339533924209619613E+02   -0.509737176493593506E+04   -0.605646350544151790E+01    1
    0.849382752180099487E+03    0.380782727512735278E+03    0.163643921216592325E+02   -0.391456702805385390E+02   -0.491747442759267051E+04   -0.605896350544151829E+01    1
    0.129734197854995728E+04    0.368756838298470029E+03    0.172667799595233902E+02   -0.371284143810995815E+02   -0.482224879738595610E+04   -0.606146350544153112E+01    1
    0.100698828697204590E+04    0.948605319405911871E+02    0.162854708569067945E+02   -0.352283366759072720E+02   -0.481166622016342717E+04   -0.606396350544153950E+01    1
    0.638372540473937988E+03    0.115388632696003754E+03    0.159914091255242869E+02   -0.373138638738971906E+02   -0.478885580809452040E+04   -0.606646350544153368E+01    1
    0.995245987176895142E+03    0.371485155250021933E+03    0.177946502623362157E+02   -0.393250979024508993E+02   -0.476772432174845562E+04   -0.606896350544153407E+01    1
    0.727057772874832153E+03    0.400043143594819639E+03    0.161104911043391041E+02   -0.363314333725845628E+02   -0.469045809274488056E+04   -0.607146350544153712E+01    1
    0.124580011963844299E+04    0.367016497483845058E+03    0.166052643687901842E+02   -0.378749445329838039E+02   -0.461625254282538845E+04   -0.607396350544151886E+01    1
    0.119171009659767151E+04    0.369895770966347243E+03    0.146915252401357339E+02   -0.313241347638523990E+02   -0.456267313987115449E+04   -0.607646350544150149E+01    1
    0.102846674919128418E+04    0.367859760108704563E+03    0.173382158940053621E+02   -0.367189429440309780E+02   -0.452835392770069848E+04   -0.607896350544150277E+01    1
