    0.850382205107263985E+03    0.340633950533269456E+03    0.173027823211736482E+02   -0.396597711888389810E+02   -0.481223227131199067E+02
    0.101234291999409038E+04    0.308409118162581478E+03    0.181427015310062281E+02   -0.406958644899015169E+02   -0.473388311260797252E+02
    0.974509169838969456E+03    0.306783128671469171E+03    0.189436275953478130E+02   -0.412496743416468519E+02   -0.473361790696997318E+02
    0.103605327495190045E+04    0.313315336201398111E+03    0.207762284330702620E+02   -0.434653339311904006E+02   -0.471688059368634569E+02
    0.103693458759455280E+04    0.330371784029380990E+03    0.158834995300232737E+02   -0.350680017838734059E+02   -0.471585182091182062E+02
    0.101596722496385837E+04    0.323413308163945999E+03    0.199138103980146788E+02   -0.415624633579795599E+02   -0.469003194298964559E+02
    0.109734117933694642E+04    0.319585000272281263E+03    0.150415594770223695E+02   -0.340290138456910185E+02   -0.467949297968181241E+02
    0.103193797084850667E+04    0.312657043148340676E+03    0.181870670073530576E+02   -0.378041201652214838E+02   -0.465300827701568664E+02
    0.101276694963293835E+04    0.309633423830803736E+03    0.179903348504933014E+02   -0.409052617305100483E+02   -0.465110678228866377E+02
    0.107571343885303440E+04    0.324147891987861158E+03    0.166278494352013588E+02   -0.383404443469335163E+02   -0.462924421415859015E+02
    0.885516798496246338E+03    0.312510301263921235E+03    0.172340180545224619E+02   -0.379111881137206481E+02   -0.462346663875904440E+02
    0.103916354839593237E+04    0.316739378607290291E+03    0.185333729173769619E+02   -0.383263940964860481E+02   -0.462016045401232347E+02
    0.108592448034695667E+04    0.323985687258700636E+03    0.157329147109574716E+02   -0.363977481600767234E+02   -0.461613760716499328E+02
    0.912420190382395504E+03    0.334486674145830193E+03    0.182360442713530908E+02   -0.403224697538946728E+02   -0.459854232872676789E+02
    0.841566954323861410E+03    0.336443819372306336E+03    0.174943454617027889E+02   -0.398856887973243985E+02   -0.459657683536768644E+02
    0.102797616414616596E+04    0.329135761474126070E+03    0.160921363839304199E+02   -0.358290313666636777E+02   -0.459593112753176598E+02
    0.826618379354476929E+03    0.327526913891580136E+03    0.187110214068503531E+02   -0.407074889555548438E+02   -0.459254223031429945E+02
    0.102282274707241481E+04    0.322707475675348121E+03    0.185205695525180047E+02   -0.379263769349489479E+02   -0.459165619121734352E+02
    0.836737585621981111E+03    0.339743220477059481E+03    0.161141477129245132E+02   -0.345403167453889637E+02   -0.458300774982008363E+02
    0.827394452755495536E+03    0.331783612258533196E+03    0.135729853005634098E+02   -0.306313150547816662E+02   -0.457425933026493965E+02
    0.846215908491161031E+03    0.320484081638360692E+03    0.167148530867963032E+02   -0.367271848944317725E+02   -0.456017910196934082E+02
    0.106551370292564729E+04    0.325565080469204304E+03    0.163721316435943045E+02   -0.395389506710563055E+02   -0.455753700138645144E+02
    0.861255633540579993E+03    0.319476000565994468E+03    0.165886862975601694E+02   -0.383474992001310966E+02   -0.455060967452140517E+02
    0.106746270946677123E+04    0.319010243614904994E+03    0.144346181173969619E+02   -0.339578768489511660E+02   -0.455058830213312646E+02
    0.108121370782413169E+04    0.322628286523563759E+03    0.129438557451764673E+02   -0.306379913973455515E+02   -0.454948512197447101E+02
    0.102171623822641754E+04    0.314793218886361728E+03    0.186732551491704371E+02   -0.382934733857674985E+02   -0.453919279259674440E+02
    0.104947012161086536E+04    0.317340861976109807E+03    0.165954307716913192E+02   -0.375731741180229690E+02   -0.453653702697600636E+02
    0.106534955881662472E+04    0.317511317801037535E+03    0.156634760595211109E+02   -0.378053252244643545E+02   -0.453259640075154238E+02
    0.944280643511360040E+03    0.315073519746351849E+03    0.146881146109276788E+02   -0.364316690035385591E+02   -0.452082191895027208E+02
    0.105062479732903876E+04    0.324644253566621558E+03    0.152914002069724226E+02   -0.339296628812961103E+02   -0.451892277916229759E+02
    0.887729445792198817E+03    0.337859127026409112E+03    0.155521656681241662E+02   -0.362987524885509103E+02   -0.451707332230960432E+02
    0.105128969204993382E+04    0.320916116371414148E+03    0.155321380286026063E+02   -0.346529936727138335E+02   -0.450150842268748406E+02
    0.949845376520217883E+03    0.330141551124419152E+03    0.178498989437479239E+02   -0.395588284886036945E+02   -0.450096599183982207E+02
    0.105952258151299657E+04    0.319767878954539981E+03    0.139388492484209383E+02   -0.343515998407929644E+02   -0.449017055805229504E+02
    0.982280864816916392E+03    0.310452311039752431E+03    0.192696980045172559E+02   -0.415175507621147162E+02   -0.448453772287695003E+02
    0.103155687295051939E+04    0.318318342849113947E+03    0.178297336148730601E+02   -0.386690718168457082E+02   -0.448105969688200645E+02
    0.104272833603355434E+04    0.322210828334227585E+03    0.117437538795629646E+02   -0.302080667692979787E+02   -0.448044492972081301E+02
    0.106532442760789195E+04    0.330378904806137029E+03    0.122238815746716014E+02   -0.315251385768795842E+02   -0.447829121382273314E+02
    0.102902223877648794E+04    0.326906010378314193E+03    0.164935245399989121E+02   -0.384920257399229300E+02   -0.447825277657205447E+02
    0.100770681046302343E+04    0.319938458787623063E+03    0.189954323491952444E+02   -0.383604435601612508E+02   -0.447705640718430260E+02
    0.846695826817614716E+03    0.326944327694512140E+03    0.180820157016699881E+02   -0.418112272593768068E+02   -0.447376290712682803E+02
    0.880108010139902262E+03    0.335954354600274314E+03    0.176287894375518057E+02   -0.383115626889062284E+02   -0.447111020882275199E+02
    0.993723453959450808E+03    0.312303200616071877E+03    0.179847404214921731E+02   -0.384436602730304173E+02   -0.447015463202558081E+02
    0.918051307606707269E+03    0.315550615884197327E+03    0.152664638283248930E+02   -0.358494687099186606E+02   -0.446955539274585689E+02
    0.103195384780800077E+04    0.318627749385124957E+03    0.147158853183718303E+02   -0.329927098103481740E+02   -0.446779530267312381E+02
    0.959798995545497064E+03    0.310706927873232985E+03    0.195312117399334966E+02   -0.401725487792716081E+02   -0.446464547215934928E+02
    0.105442904986260464E+04    0.323450417182210856E+03    0.148832070008293726E+02   -0.347264217165346523E+02   -0.445973203837512173E+02
    0.949772100920257799E+03    0.322481804146075149E+03    0.207605338068167491E+02   -0.410175744177144139E+02   -0.445933109985636662E+02
    0.884076011180877686E+03    0.315779182395338808E+03    0.168131642927715497E+02   -0.377109172116739373E+02   -0.445278581934515643E+02
    0.872663260721506958E+03    0.319504911727540104E+03    0.151477851484692039E+02   -0.344240350066958172E+02   -0.445162487859023557E+02
    0.103668443890053186E+04    0.318044250885246129E+03    0.151543255648411321E+02   -0.360249986730751743E+02   -0.444952448966378000E+02
    0.952715373691761101E+03    0.320907453423621405E+03    0.207303963144052510E+02   -0.395388874388753635E+02   -0.444885920962127202E+02
    0.986662648575294725E+03    0.316069381533948217E+03    0.143525414781826424E+02   -0.331430184232812550E+02   -0.444657233145152517E+02
    0.863881625201800944E+03    0.335226536461639796E+03    0.145660567848868396E+02   -0.359567794769813034E+02   -0.444576702201607077E+02
    0.949943158413137212E+03    0.322416630564347997E+03    0.207269802540109715E+02   -0.413595485578344864E+02   -0.444570403146141189E+02
    0.921003574944280217E+03    0.309486327282128627E+03    0.200419705719369539E+02   -0.413895823693932812E+02   -0.444424531668425189E+02
    0.953782589956214565E+03    0.327089874990294049E+03    0.186270664446242762E+02   -0.397406851926015676E+02   -0.444215652165837227E+02
    0.921893461560227252E+03    0.330317085137651588E+03    0.186170814123752244E+02   -0.383091331605167511E+02   -0.443686505543710084E+02
    0.974041519643177480E+03    0.313414296400046965E+03    0.163684277967003382E+02   -0.393583910532365522E+02   -0.443660141630119256E+02
    0.848337282292654663E+03    0.337824026423385305E+03    0.150435378144711969E+02   -0.327116931922972896E+02   -0.443415823274374148E+02
    0.890883534108808817E+03    0.319593126970186177E+03    0.146863139876013289E+02   -0.355012006253308243E+02   -0.443036869743384543E+02
    0.971050303098711652E+03    0.330013618901060454E+03    0.165018861296928527E+02   -0.371352028268756058E+02   -0.442938390664309622E+02
    0.104755075545781597E+04    0.322225316898860910E+03    0.139538979939651746E+02   -0.337750006586969747E+02   -0.442399037565196096E+02
    0.847153180479053162E+03    0.335877359114995556E+03    0.195866944277835451E+02   -0.383520440960009239E+02   -0.441939104685802775E+02
    0.909528863430023193E+03    0.333787184952215796E+03    0.170687323806409808E+02   -0.381119392987354928E+02   -0.441843759665857974E+02
