,Mesh,c half axis (um),Time (years),Core_Mg (ppm)
0,fsp656_mesh,100.0,0.0,429.9999999999999
1,fsp656_mesh,100.0,359.11171787175766,430.0000663635167
2,fsp656_mesh,100.0,718.2234357435153,430.0000000334724
3,fsp656_mesh,100.0,1077.335153615273,429.9999668925968
4,fsp656_mesh,100.0,1436.4468714870306,429.99993541282447
5,fsp656_mesh,100.0,1795.5585893587881,429.9999194927577
6,fsp656_mesh,100.0,2154.670307230546,429.9999177304395
7,fsp656_mesh,100.0,2513.7820251023036,429.99991784789756
8,fsp656_mesh,100.0,2872.8937429740613,429.9999302612656
9,fsp656_mesh,100.0,3232.0054608458186,429.99993956962714
10,fsp656_mesh,100.0,3591.117178717576,429.9999544538338
11,fsp656_mesh,100.0,3950.2288965893335,429.9999517870498
12,fsp656_mesh,100.0,4309.340614461091,429.9999057374789
13,fsp656_mesh,100.0,4668.4523323328485,429.9997119141889
14,fsp656_mesh,100.0,5027.564050204605,429.9991630550608
15,fsp656_mesh,100.0,5386.675768076363,429.9978393670053
16,fsp656_mesh,100.0,5745.787485948121,429.9950538563022
17,fsp656_mesh,100.0,6104.899203819878,429.9897650712614
18,fsp656_mesh,100.0,6464.010921691635,429.98056168474403
19,fsp656_mesh,100.0,6823.122639563393,429.96564277150384
20,fsp656_mesh,100.0,7182.23435743515,429.9428607995993
21,fsp656_mesh,100.0,7541.346075306908,429.9097610866465
22,fsp656_mesh,100.0,7900.457793178664,429.86366149504914
23,fsp656_mesh,100.0,8259.569511050422,429.8017192547943
24,fsp656_mesh,100.0,8618.68122892218,429.72101766996497
25,fsp656_mesh,100.0,8977.792946793938,429.6186328297786
26,fsp656_mesh,100.0,9336.904664665697,429.4917072071959
27,fsp656_mesh,100.0,9696.016382537455,429.33750128049587
28,fsp656_mesh,100.0,10055.128100409212,429.15344573736576
29,fsp656_mesh,100.0,10414.239818280972,428.9371734990015
30,fsp656_mesh,100.0,10773.35153615273,428.68655032779105
31,fsp656_mesh,100.0,11132.463254024487,428.39968883511733
32,fsp656_mesh,100.0,11491.574971896247,428.07496123645706
33,fsp656_mesh,100.0,11850.686689768005,427.71099945354365
34,fsp656_mesh,100.0,12209.798407639762,427.30669490719845
35,fsp656_mesh,100.0,12568.910125511522,426.8611892211378
36,fsp656_mesh,100.0,12928.02184338328,426.3738656222101
37,fsp656_mesh,100.0,13287.13356125504,425.8443341436991
38,fsp656_mesh,100.0,13646.245279126797,425.2724183023629
39,fsp656_mesh,100.0,14005.356996998555,424.65813776747973
40,fsp656_mesh,100.0,14364.468714870314,424.0016929871649
41,fsp656_mesh,100.0,14723.580432742072,423.30344737957756
42,fsp656_mesh,100.0,15082.69215061383,422.5639117047437
43,fsp656_mesh,100.0,15441.80386848559,421.7837270832774
44,fsp656_mesh,100.0,15800.915586357347,420.96365022377546
45,fsp656_mesh,100.0,16160.027304229105,420.1045380112023
46,fsp656_mesh,100.0,16519.139022100862,419.2073342017739
47,fsp656_mesh,100.0,16878.250739972624,418.2730559291752
48,fsp656_mesh,100.0,17237.36245784438,417.3027821383881
49,fsp656_mesh,100.0,17596.47417571614,416.2976420987946
50,fsp656_mesh,100.0,17955.585893587897,415.2588056288421
51,fsp656_mesh,100.0,18314.69761145965,414.1874735458247
52,fsp656_mesh,100.0,18673.80932933141,413.0848696010121
53,fsp656_mesh,100.0,19032.921047203166,411.95223270669567
54,fsp656_mesh,100.0,19392.03276507492,410.7908104292751
55,fsp656_mesh,100.0,19751.14448294668,409.601852791878
56,fsp656_mesh,100.0,20110.256200818432,408.3866071404375
57,fsp656_mesh,100.0,20469.36791869019,407.146313307907
58,fsp656_mesh,100.0,20828.479636561948,405.8821996608829
59,fsp656_mesh,100.0,21187.5913544337,404.5954794172478
60,fsp656_mesh,100.0,21546.70307230546,403.2873476882422
61,fsp656_mesh,100.0,21905.814790177217,401.95897875723745
62,fsp656_mesh,100.0,22264.92650804897,400.6115239475544
63,fsp656_mesh,100.0,22624.03822592073,399.2461096907273
64,fsp656_mesh,100.0,22983.149943792487,397.8638360694191
65,fsp656_mesh,100.0,23342.26166166424,396.4657755256939
66,fsp656_mesh,100.0,23701.373379536,395.0529719483636
67,fsp656_mesh,100.0,24060.485097407756,393.6264398934663
68,fsp656_mesh,100.0,24419.59681527951,392.1871641047022
69,fsp656_mesh,100.0,24778.708533151268,390.7360991384222
70,fsp656_mesh,100.0,25137.820251023026,389.2741692236047
71,fsp656_mesh,100.0,25496.93196889478,387.8022682016814
72,fsp656_mesh,100.0,25856.043686766538,386.32125964837013
73,fsp656_mesh,100.0,26215.15540463829,384.83197705442916
74,fsp656_mesh,100.0,26574.26712251005,383.33522414548855
75,fsp656_mesh,100.0,26933.378840381807,381.83177524337054
76,fsp656_mesh,100.0,27292.49055825356,380.3223757319144
77,fsp656_mesh,100.0,27651.60227612532,378.8077425499855
78,fsp656_mesh,100.0,28010.713993997077,377.2885647613123
79,fsp656_mesh,100.0,28369.82571186883,375.7655041399387
80,fsp656_mesh,100.0,28728.93742974059,374.2391958104872
81,fsp656_mesh,100.0,29088.049147612346,372.71024889481345
82,fsp656_mesh,100.0,29447.1608654841,371.17924719607703
83,fsp656_mesh,100.0,29806.272583355858,369.6467498819638
84,fsp656_mesh,100.0,30165.384301227616,368.11329219168584
85,fsp656_mesh,100.0,30524.49601909937,366.5793861365525
86,fsp656_mesh,100.0,30883.607736971127,365.0455212137173
87,fsp656_mesh,100.0,31242.719454842885,363.5121651092893
88,fsp656_mesh,100.0,31601.83117271464,361.9797644064704
89,fsp656_mesh,100.0,31960.942890586397,360.4487452799723
90,fsp656_mesh,100.0,32320.05460845815,358.9195141892729
91,fsp656_mesh,100.0,32679.16632632991,357.3924585559858
92,fsp656_mesh,100.0,33038.27804420167,355.86794743545073
93,fsp656_mesh,100.0,33397.38976207342,354.346332171005
94,fsp656_mesh,100.0,33756.50147994518,352.82794703910577
95,fsp656_mesh,100.0,34115.613197816936,351.3131098762889
96,fsp656_mesh,100.0,34474.72491568869,349.8021226945955
97,fsp656_mesh,100.0,34833.836633560444,348.29527227845017
98,fsp656_mesh,100.0,35192.948351432206,346.79283076840215
99,fsp656_mesh,100.0,35552.06006930397,345.29505622629273
100,fsp656_mesh,100.0,35911.17178717572,343.80219318628696
101,fsp656_mesh,100.0,36270.283505047475,342.3144731875788
102,fsp656_mesh,100.0,36629.39522291924,340.83211529243476
103,fsp656_mesh,100.0,36988.50694079099,339.3553265863629
104,fsp656_mesh,100.0,37347.618658662745,337.8843026634532
105,fsp656_mesh,100.0,37706.730376534506,336.4192280944486
106,fsp656_mesh,100.0,38065.84209440626,334.9602768800904
107,fsp656_mesh,100.0,38424.953812278014,333.50761288790505
108,fsp656_mesh,100.0,38784.065530149775,332.061390274572
109,fsp656_mesh,100.0,39143.17724802153,330.62175389251496
110,fsp656_mesh,100.0,39502.28896589328,329.18883968252413
111,fsp656_mesh,100.0,39861.400683765045,327.7627750514293
112,fsp656_mesh,100.0,40220.5124016368,326.34367923635523
113,fsp656_mesh,100.0,40579.62411950855,324.93166365487497
114,fsp656_mesh,100.0,40938.735837380314,323.52683224236745
115,fsp656_mesh,100.0,41297.84755525207,322.12928177612
116,fsp656_mesh,100.0,41656.95927312382,320.7391021873018
117,fsp656_mesh,100.0,42016.07099099558,319.3563768605168
118,fsp656_mesh,100.0,42375.18270886734,317.9811829219151
119,fsp656_mesh,100.0,42734.29442673909,316.61359151570224
120,fsp656_mesh,100.0,43093.406144610846,315.25366806989484
121,fsp656_mesh,100.0,43452.51786248261,313.9014725512664
122,fsp656_mesh,100.0,43811.62958035436,312.55705971022405
123,fsp656_mesh,100.0,44170.741298226116,311.22047931563185
124,fsp656_mesh,100.0,44529.85301609788,309.89177638023443
125,fsp656_mesh,100.0,44888.96473396963,308.5709913767503
126,fsp656_mesh,100.0,45248.076451841385,307.258160445211
127,fsp656_mesh,100.0,45607.18816971315,305.953315591655
128,fsp656_mesh,100.0,45966.2998875849,304.6564848786884
129,fsp656_mesh,100.0,46325.411605456655,303.3676926080459
130,fsp656_mesh,100.0,46684.523323328416,302.08695949560934
131,fsp656_mesh,100.0,47043.63504120017,300.81430283903484
132,fsp656_mesh,100.0,47402.746759071924,299.5497366783958
133,fsp656_mesh,100.0,47761.858476943686,298.2932719500055
134,fsp656_mesh,100.0,48120.97019481544,297.04491663378167
135,fsp656_mesh,100.0,48480.081912687194,295.80467589432357
136,fsp656_mesh,100.0,48839.193630558955,294.5725522160257
137,fsp656_mesh,100.0,49198.30534843071,293.3485455324005
138,fsp656_mesh,100.0,49557.41706630246,292.1326533499014
139,fsp656_mesh,100.0,49916.528784174225,290.9248708664144
140,fsp656_mesh,100.0,50275.64050204598,289.7251910846855
141,fsp656_mesh,100.0,50634.75221991773,288.5336049208427
142,fsp656_mesh,100.0,50993.863937789494,287.35010130825634
143,fsp656_mesh,100.0,51352.97565566125,286.17466729689187
144,fsp656_mesh,100.0,51712.087373533,285.0072881483748
145,fsp656_mesh,100.0,52071.199091404764,283.8479474269151
146,fsp656_mesh,100.0,52430.31080927652,282.6966270862901
147,fsp656_mesh,100.0,52789.42252714827,281.55330755302685
148,fsp656_mesh,100.0,53148.53424502003,280.41796780596337
149,fsp656_mesh,100.0,53507.64596289179,279.2905854523228
150,fsp656_mesh,100.0,53866.75768076354,278.1711368004637
151,fsp656_mesh,100.0,54225.869398635296,277.0595969294308
152,fsp656_mesh,100.0,54584.98111650706,275.9559397554566
153,fsp656_mesh,100.0,54944.09283437881,274.86013809552975
154,fsp656_mesh,100.0,55303.204552250565,273.7721637281659
155,fsp656_mesh,100.0,55662.31627012233,272.69198745149083
156,fsp656_mesh,100.0,56021.42798799408,271.6195791387584
157,fsp656_mesh,100.0,56380.539705865835,270.5549077914066
158,fsp656_mesh,100.0,56739.651423737596,269.4979415897618
159,fsp656_mesh,100.0,57098.76314160935,268.44864794148816
160,fsp656_mesh,100.0,57457.874859481104,267.40699352788266
161,fsp656_mesh,100.0,57816.986577352865,266.37294434810525
162,fsp656_mesh,100.0,58176.09829522462,265.3464657614357
163,fsp656_mesh,100.0,58535.21001309637,264.3275225276394
164,fsp656_mesh,100.0,58894.321730968135,263.31607884552744
165,fsp656_mesh,100.0,59253.43344883989,262.31209838978435
166,fsp656_mesh,100.0,59612.54516671164,261.315544346144
167,fsp656_mesh,100.0,59971.656884583404,260.3263794449793
168,fsp656_mesh,100.0,60330.76860245516,259.3445659933805
169,fsp656_mesh,100.0,60689.88032032691,258.3700659057818
170,fsp656_mesh,100.0,61048.992038198674,257.4028407332045
171,fsp656_mesh,100.0,61408.10375607043,256.44285169117364
172,fsp656_mesh,100.0,61767.21547394218,255.49005968636635
173,fsp656_mesh,100.0,62126.32719181394,254.5444253420488
174,fsp656_mesh,100.0,62485.4389096857,253.60590902235276
175,fsp656_mesh,100.0,62844.55062755745,252.6744708554419
176,fsp656_mesh,100.0,63203.66234542921,251.7500707556207
177,fsp656_mesh,100.0,63562.77406330097,250.83266844442423
178,fsp656_mesh,100.0,63921.88578117272,249.92222347074195
179,fsp656_mesh,100.0,64280.99749904448,249.01869523001193
180,fsp656_mesh,100.0,64640.10921691624,248.12204298252774
181,fsp656_mesh,100.0,64999.22093478799,247.23222587089833
182,fsp656_mesh,100.0,65358.33265265975,246.3492029366955
183,fsp656_mesh,100.0,65717.4443705315,245.47293313632687
184,fsp656_mesh,100.0,66076.55608840326,244.6033753561663
185,fsp656_mesh,100.0,66435.66780627501,243.7404884269762
186,fsp656_mesh,100.0,66794.77952414677,242.88423113765083
187,fsp656_mesh,100.0,67153.89124201854,242.0345622483123
188,fsp656_mesh,100.0,67513.00295989029,241.191440502786
189,fsp656_mesh,100.0,67872.11467776205,240.35482464048403
190,fsp656_mesh,100.0,68231.2263956338,239.524673407722
191,fsp656_mesh,100.0,68590.33811350555,238.70094556849332
192,fsp656_mesh,100.0,68949.44983137731,237.8835999147272
193,fsp656_mesh,100.0,69308.56154924908,237.0725952760497
194,fsp656_mesh,100.0,69667.67326712083,236.2678905290729
195,fsp656_mesh,100.0,70026.78498499258,235.46944460623087
196,fsp656_mesh,100.0,70385.89670286434,234.67721650418227
197,fsp656_mesh,100.0,70745.00842073609,233.89116529180123
198,fsp656_mesh,100.0,71104.12013860785,233.11125011777054
199,fsp656_mesh,100.0,71463.23185647962,232.33743021779847
200,fsp656_mesh,100.0,71822.34357435137,231.5696649214729
201,fsp656_mesh,100.0,72181.45529222312,230.80791365877147
202,fsp656_mesh,100.0,72540.56701009488,230.05213596623946
203,fsp656_mesh,100.0,72899.67872796663,229.30229149285347
204,fsp656_mesh,100.0,73258.79044583839,228.55834000558224
205,fsp656_mesh,100.0,73617.90216371014,227.82024139465955
206,fsp656_mesh,100.0,73977.01388158191,227.0879556785807
207,fsp656_mesh,100.0,74336.12559945366,226.361443008835
208,fsp656_mesh,100.0,74695.23731732542,225.64066367438718
209,fsp656_mesh,100.0,75054.34903519717,224.9255781059164
210,fsp656_mesh,100.0,75413.46075306892,224.2161468798255
211,fsp656_mesh,100.0,75772.57247094068,223.51233072203007
212,fsp656_mesh,100.0,76131.68418881245,222.81409051153656
213,fsp656_mesh,100.0,76490.7959066842,222.12138728381882
214,fsp656_mesh,100.0,76849.90762455596,221.434182234003
215,fsp656_mesh,100.0,77209.01934242771,220.7524367198674
216,fsp656_mesh,100.0,77568.13106029946,220.0761122646672
217,fsp656_mesh,100.0,77927.24277817122,219.4051705597904
218,fsp656_mesh,100.0,78286.35449604299,218.73957346725393
219,fsp656_mesh,100.0,78645.46621391474,218.0792830220445
220,fsp656_mesh,100.0,79004.5779317865,217.42426143431425
221,fsp656_mesh,100.0,79363.68964965825,216.77447109143483
222,fsp656_mesh,100.0,79722.80136753,216.12987455991714
223,fsp656_mesh,100.0,80081.91308540176,215.49043458720408
224,fsp656_mesh,100.0,80441.02480327353,214.85611410333826
225,fsp656_mesh,100.0,80800.13652114528,214.22687622251493
226,fsp656_mesh,100.0,81159.24823901703,213.60268424452053
227,fsp656_mesh,100.0,81518.35995688879,212.9835016560663
228,fsp656_mesh,100.0,81877.47167476054,212.36929213201654
229,fsp656_mesh,100.0,82236.5833926323,211.7600195365223
230,fsp656_mesh,100.0,82595.69511050406,211.1556479240582
231,fsp656_mesh,100.0,82954.80682837582,210.5561415403723
232,fsp656_mesh,100.0,83313.91854624757,209.96146482334842
233,fsp656_mesh,100.0,83673.03026411933,209.37158240378844
234,fsp656_mesh,100.0,84032.14198199108,208.78645910611468
235,fsp656_mesh,100.0,84391.25369986283,208.20605994899904
236,fsp656_mesh,100.0,84750.36541773459,207.63035014591964
237,fsp656_mesh,100.0,85109.47713560636,207.05929510564997
238,fsp656_mesh,100.0,85468.58885347811,206.4928604326821
239,fsp656_mesh,100.0,85827.70057134987,205.93101192758832
240,fsp656_mesh,100.0,86186.81228922162,205.37371558732184
241,fsp656_mesh,100.0,86545.92400709337,204.82093760546266
242,fsp656_mesh,100.0,86905.03572496513,204.27264437240632
243,fsp656_mesh,100.0,87264.1474428369,203.72880247550347
244,fsp656_mesh,100.0,87623.25916070865,203.1893786991471
245,fsp656_mesh,100.0,87982.3708785804,202.65434002481413
246,fsp656_mesh,100.0,88341.48259645216,202.123653631061
247,fsp656_mesh,100.0,88700.59431432391,201.59728689347526
248,fsp656_mesh,100.0,89059.70603219567,201.07520738458723
249,fsp656_mesh,100.0,89418.81775006744,200.5573828737405
250,fsp656_mesh,100.0,89777.92946793919,200.0437813269256
251,fsp656_mesh,100.0,90137.04118581094,199.5343709065772
252,fsp656_mesh,100.0,90496.1529036827,199.0291199713374
253,fsp656_mesh,100.0,90855.26462155445,198.52799707578487
254,fsp656_mesh,100.0,91214.3763394262,198.03097097013395
255,fsp656_mesh,100.0,91573.48805729797,197.53801059990292
256,fsp656_mesh,100.0,91932.59977516973,197.0490851055538
257,fsp656_mesh,100.0,92291.71149304148,196.5641638221045
258,fsp656_mesh,100.0,92650.82321091324,196.08321627871604
259,fsp656_mesh,100.0,93009.93492878499,195.60621219825296
260,fsp656_mesh,100.0,93369.04664665674,195.1331214968221
261,fsp656_mesh,100.0,93728.15836452851,194.66391428328663
262,fsp656_mesh,100.0,94087.27008240027,194.19856085876032
263,fsp656_mesh,100.0,94446.38180027202,193.73703171607994
264,fsp656_mesh,100.0,94805.49351814378,193.27929753925864
265,fsp656_mesh,100.0,95164.60523601553,192.8253292029203
266,fsp656_mesh,100.0,95523.71695388728,192.3750977717164
267,fsp656_mesh,100.0,95882.82867175905,191.92857449972539
268,fsp656_mesh,100.0,96241.9403896308,191.48573082983657
269,fsp656_mesh,100.0,96601.05210750256,191.0465383931176
270,fsp656_mesh,100.0,96960.16382537431,190.6109690081686
271,fsp656_mesh,100.0,97319.27554324607,190.17899468046144
272,fsp656_mesh,100.0,97678.38726111782,189.75058760166542
273,fsp656_mesh,100.0,98037.49897898958,189.32572014896192
274,fsp656_mesh,100.0,98396.61069686135,188.90436488434523
275,fsp656_mesh,100.0,98755.7224147331,188.48649455391345
276,fsp656_mesh,100.0,99114.83413260485,188.07208208714758
277,fsp656_mesh,100.0,99473.94585047661,187.66110059618129
278,fsp656_mesh,100.0,99833.05756834836,187.25352337505993
279,fsp656_mesh,100.0,100192.16928622012,186.84932389899177
280,fsp656_mesh,100.0,100551.28100409188,186.4484758235889
281,fsp656_mesh,100.0,100910.39272196364,186.05095298410143
282,fsp656_mesh,100.0,101269.5044398354,185.6567293946427
283,fsp656_mesh,100.0,101628.61615770715,185.265779247408
284,fsp656_mesh,100.0,101987.7278755789,184.87807691188624
285,fsp656_mesh,100.0,102346.83959345066,184.49359693406427
286,fsp656_mesh,100.0,102705.95131132242,184.11231403562624
287,fsp656_mesh,100.0,103065.06302919418,183.7342031131466
288,fsp656_mesh,100.0,103424.17474706593,183.35923923727754
289,fsp656_mesh,100.0,103783.28646493769,182.98739765193164
290,fsp656_mesh,100.0,104142.39818280944,182.61865377345987
291,fsp656_mesh,100.0,104501.5099006812,182.25298318982468
292,fsp656_mesh,100.0,104860.62161855296,181.89036165976958
293,fsp656_mesh,100.0,105219.73333642472,181.53076511198407
294,fsp656_mesh,100.0,105578.84505429647,181.17416964426624
295,fsp656_mesh,100.0,105937.95677216823,180.8205515226806
296,fsp656_mesh,100.0,106297.06849003998,180.469887180714
297,fsp656_mesh,100.0,106656.18020791173,180.12215321842822
