,Mesh,c half axis (um),Time (years),Core_Mg (ppm)
0,fsp656_mesh,2000.0,0.0,430.0
1,fsp656_mesh,2000.0,0.8652077211234873,429.9999259760578
2,fsp656_mesh,2000.0,1.7304154422469746,429.9998949608303
3,fsp656_mesh,2000.0,2.595623163370462,429.9998718012276
4,fsp656_mesh,2000.0,3.4608308844939493,429.99984836801696
5,fsp656_mesh,2000.0,4.326038605617437,429.9998338877785
6,fsp656_mesh,2000.0,5.191246326740924,429.9998236339373
7,fsp656_mesh,2000.0,6.056454047864411,429.9998097832511
8,fsp656_mesh,2000.0,6.921661768987898,429.99980530942145
9,fsp656_mesh,2000.0,7.786869490111385,429.9997929023757
10,fsp656_mesh,2000.0,8.652077211234872,429.9997867822
11,fsp656_mesh,2000.0,9.51728493235836,429.99975939913185
12,fsp656_mesh,2000.0,10.382492653481847,429.9996905507251
13,fsp656_mesh,2000.0,11.247700374605335,429.99947136991887
14,fsp656_mesh,2000.0,12.112908095728823,429.99889925047495
15,fsp656_mesh,2000.0,12.978115816852311,429.9975506952322
16,fsp656_mesh,2000.0,13.843323537975799,429.99474223712997
17,fsp656_mesh,2000.0,14.708531259099287,429.9894296040784
18,fsp656_mesh,2000.0,15.573738980222775,429.9802040228875
19,fsp656_mesh,2000.0,16.438946701346264,429.9652625087396
20,fsp656_mesh,2000.0,17.30415442246975,429.9424593308079
21,fsp656_mesh,2000.0,18.16936214359324,429.90933833863426
22,fsp656_mesh,2000.0,19.034569864716726,429.8632186417509
23,fsp656_mesh,2000.0,19.899777585840216,429.8012564402503
24,fsp656_mesh,2000.0,20.764985306963702,429.72053588884745
25,fsp656_mesh,2000.0,21.63019302808719,429.6181323628949
26,fsp656_mesh,2000.0,22.495400749210678,429.49118890713174
27,fsp656_mesh,2000.0,23.360608470334167,429.33696551007216
28,fsp656_mesh,2000.0,24.225816191457653,429.15289323753507
29,fsp656_mesh,2000.0,25.091023912581143,428.93660467793876
30,fsp656_mesh,2000.0,25.95623163370463,428.6859658387392
31,fsp656_mesh,2000.0,26.82143935482812,428.39908910742935
32,fsp656_mesh,2000.0,27.686647075951605,428.07434685402967
33,fsp656_mesh,2000.0,28.551854797075094,427.71037085122936
34,fsp656_mesh,2000.0,29.41706251819858,427.3060526134576
35,fsp656_mesh,2000.0,30.28227023932207,426.8605336663693
36,fsp656_mesh,2000.0,31.147477960445556,426.3731972899002
37,fsp656_mesh,2000.0,32.012685681569046,425.84365345365825
38,fsp656_mesh,2000.0,32.877893402692536,425.2717257009489
39,fsp656_mesh,2000.0,33.74310112381602,424.65743366030387
40,fsp656_mesh,2000.0,34.60830884493951,424.0009777893446
41,fsp656_mesh,2000.0,35.473516566063,423.30272148056224
42,fsp656_mesh,2000.0,36.33872428718649,422.56317549284466
43,fsp656_mesh,2000.0,37.20393200830997,421.78298093088205
44,fsp656_mesh,2000.0,38.06913972943346,420.96289449575335
45,fsp656_mesh,2000.0,38.93434745055695,420.1037730626493
46,fsp656_mesh,2000.0,39.79955517168044,419.206560376696
47,fsp656_mesh,2000.0,40.66476289280393,418.27227356556267
48,fsp656_mesh,2000.0,41.52997061392741,417.3019915613847
49,fsp656_mesh,2000.0,42.3951783350509,416.29684362971733
50,fsp656_mesh,2000.0,43.26038605617439,415.25799957555387
51,fsp656_mesh,2000.0,44.12559377729788,414.18666021353937
52,fsp656_mesh,2000.0,44.99080149842136,413.08404928158603
53,fsp656_mesh,2000.0,45.85600921954485,411.9514056898787
54,fsp656_mesh,2000.0,46.72121694066834,410.78997699196583
55,fsp656_mesh,2000.0,47.58642466179183,409.6010132090278
56,fsp656_mesh,2000.0,48.451632382915314,408.38576167487236
57,fsp656_mesh,2000.0,49.3168401040388,407.14546222044646
58,fsp656_mesh,2000.0,50.18204782516229,405.8813432010438
59,fsp656_mesh,2000.0,51.04725554628578,404.59461783236924
60,fsp656_mesh,2000.0,51.912463267409265,403.28648121520575
61,fsp656_mesh,2000.0,52.777670988532755,401.9581076305319
62,fsp656_mesh,2000.0,53.642878709656244,400.6106483920331
63,fsp656_mesh,2000.0,54.508086430779734,399.245229928632
64,fsp656_mesh,2000.0,55.37329415190322,397.86295231413106
65,fsp656_mesh,2000.0,56.238501873026706,396.46488798778387
66,fsp656_mesh,2000.0,57.103709594150196,395.05208083025764
67,fsp656_mesh,2000.0,57.968917315273686,393.6255453946132
68,fsp656_mesh,2000.0,58.83412503639717,392.1862664170583
69,fsp656_mesh,2000.0,59.69933275752066,390.7351984508367
70,fsp656_mesh,2000.0,60.56454047864415,389.27326571802485
71,fsp656_mesh,2000.0,61.42974819976764,387.8013620568545
72,fsp656_mesh,2000.0,62.29495592089112,386.3203510366734
73,fsp656_mesh,2000.0,63.16016364201461,384.83106614498234
74,fsp656_mesh,2000.0,64.02537136313809,383.33431110151844
75,fsp656_mesh,2000.0,64.89057908426159,381.83086022482144
76,fsp656_mesh,2000.0,65.75578680538507,380.32145889326677
77,fsp656_mesh,2000.0,66.62099452650857,378.80682404243856
78,fsp656_mesh,2000.0,67.48620224763205,377.2876447309887
79,fsp656_mesh,2000.0,68.35140996875553,375.764582729705
80,fsp656_mesh,2000.0,69.21661768987902,374.23827315848087
81,fsp656_mesh,2000.0,70.08182541100251,372.70932513596136
82,fsp656_mesh,2000.0,70.947033132126,371.1783224608909
83,fsp656_mesh,2000.0,71.81224085324948,369.6458242978067
84,fsp656_mesh,2000.0,72.67744857437297,368.11236588179025
85,fsp656_mesh,2000.0,73.54265629549646,366.5784592210755
86,fsp656_mesh,2000.0,74.40786401661994,365.04459380894474
87,fsp656_mesh,2000.0,75.27307173774344,363.5112373285158
88,fsp656_mesh,2000.0,76.13827945886692,361.97883635935545
89,fsp656_mesh,2000.0,77.00348717999042,360.4478170732747
90,fsp656_mesh,2000.0,77.8686949011139,358.9185859263334
91,fsp656_mesh,2000.0,78.73390262223738,357.3915303373404
92,fsp656_mesh,2000.0,79.59911034336088,355.86701935841666
93,fsp656_mesh,2000.0,80.46431806448436,354.34540433019396
94,fsp656_mesh,2000.0,81.32952578560786,352.82701952609483
95,fsp656_mesh,2000.0,82.19473350673134,351.3121827800507
96,fsp656_mesh,2000.0,83.05994122785482,349.80119610123853
97,fsp656_mesh,2000.0,83.92514894897832,348.2943462715799
98,fsp656_mesh,2000.0,84.7903566701018,346.7919054289184
99,fsp656_mesh,2000.0,85.65556439122528,345.2941316326944
