,Mesh,c half axis (um),Time (years),Core_Mg (ppm)
0,fsp656_mesh,2000.0,0.0,430.0
1,fsp656_mesh,2000.0,143644.68714870306,429.99992597605774
2,fsp656_mesh,2000.0,287289.3742974061,429.9998949608303
3,fsp656_mesh,2000.0,430934.0614461092,429.9998718012276
4,fsp656_mesh,2000.0,574578.7485948122,429.9998483680169
5,fsp656_mesh,2000.0,718223.4357435154,429.99983388777844
6,fsp656_mesh,2000.0,861868.1228922184,429.999823633937
7,fsp656_mesh,2000.0,1005512.8100409214,429.9998097832511
8,fsp656_mesh,2000.0,1149157.4971896245,429.99980530942133
9,fsp656_mesh,2000.0,1292802.1843383277,429.99979290237565
10,fsp656_mesh,2000.0,1436446.8714870308,429.99978678219975
11,fsp656_mesh,2000.0,1580091.5586357338,429.9997593991318
12,fsp656_mesh,2000.0,1723736.2457844368,429.9996905507249
13,fsp656_mesh,2000.0,1867380.9329331398,429.99947136991875
14,fsp656_mesh,2000.0,2011025.6200818429,429.99889925047495
15,fsp656_mesh,2000.0,2154670.307230546,429.9975506952321
16,fsp656_mesh,2000.0,2298314.994379249,429.99474223712986
17,fsp656_mesh,2000.0,2441959.681527952,429.9894296040783
18,fsp656_mesh,2000.0,2585604.3686766555,429.9802040228874
19,fsp656_mesh,2000.0,2729249.0558253583,429.96526250873956
20,fsp656_mesh,2000.0,2872893.7429740615,429.9424593308078
21,fsp656_mesh,2000.0,3016538.4301227643,429.90933833863414
22,fsp656_mesh,2000.0,3160183.1172714676,429.86321864175085
23,fsp656_mesh,2000.0,3303827.8044201704,429.8012564402502
24,fsp656_mesh,2000.0,3447472.4915688736,429.72053588884734
25,fsp656_mesh,2000.0,3591117.178717577,429.6181323628947
26,fsp656_mesh,2000.0,3734761.8658662797,429.49118890713163
27,fsp656_mesh,2000.0,3878406.553014983,429.33696551007193
28,fsp656_mesh,2000.0,4022051.2401636858,429.1528932375349
29,fsp656_mesh,2000.0,4165695.927312389,428.9366046779386
30,fsp656_mesh,2000.0,4309340.614461092,428.68596583873904
31,fsp656_mesh,2000.0,4452985.301609796,428.3990891074291
32,fsp656_mesh,2000.0,4596629.988758498,428.0743468540295
33,fsp656_mesh,2000.0,4740274.675907201,427.7103708512292
34,fsp656_mesh,2000.0,4883919.363055904,427.30605261345744
35,fsp656_mesh,2000.0,5027564.050204608,426.86053366636924
36,fsp656_mesh,2000.0,5171208.737353311,426.3731972898998
37,fsp656_mesh,2000.0,5314853.424502013,425.8436534536582
38,fsp656_mesh,2000.0,5458498.1116507165,425.2717257009487
39,fsp656_mesh,2000.0,5602142.79879942,424.65743366030387
40,fsp656_mesh,2000.0,5745787.485948123,424.00097778934435
41,fsp656_mesh,2000.0,5889432.173096826,423.3027214805621
42,fsp656_mesh,2000.0,6033076.860245529,422.5631754928444
43,fsp656_mesh,2000.0,6176721.547394232,421.7829809308819
44,fsp656_mesh,2000.0,6320366.234542935,420.96289449575323
45,fsp656_mesh,2000.0,6464010.921691638,420.1037730626491
46,fsp656_mesh,2000.0,6607655.608840341,419.2065603766958
47,fsp656_mesh,2000.0,6751300.295989044,418.27227356556244
48,fsp656_mesh,2000.0,6894944.983137747,417.3019915613847
49,fsp656_mesh,2000.0,7038589.670286451,416.2968436297171
50,fsp656_mesh,2000.0,7182234.357435154,415.25799957555375
51,fsp656_mesh,2000.0,7325879.044583856,414.1866602135392
52,fsp656_mesh,2000.0,7469523.731732559,413.08404928158586
53,fsp656_mesh,2000.0,7613168.418881263,411.95140568987836
54,fsp656_mesh,2000.0,7756813.106029966,410.78997699196566
55,fsp656_mesh,2000.0,7900457.793178669,409.6010132090276
